date,infl_cz,infl_de,rate,oil,gdp_growth,target,baseline
1997-06-30,6.271031350957782,1.364922628293878,19.6703823953824,18.04515625,6.77438994290227,9.24324394978427,6.923669156894559
1997-09-30,9.24324394978427,1.5803342347964728,15.476837944664032,18.50622950819672,0.07088919710280805,9.595555036987472,6.271031350957782
1997-12-31,9.595555036987472,1.494586837253083,16.46369696969697,18.76238095238095,-0.06313909079710411,12.29572851319296,9.24324394978427
1998-03-31,12.29572851319296,0.5653134968314433,16.0116976911977,14.104444444444445,-7.800292780645657,11.644553490856431,9.595555036987472
1998-06-30,11.644553490856431,0.8689083610976533,15.611397053239132,13.310983606557377,7.621212374442199,8.669770160261315,12.29572851319296
1998-09-30,8.669770160261315,0.6481169952672561,14.180548340548365,12.456461538461538,0.9892379606478929,6.479359433417893,11.644553490856431
1998-12-31,6.479359433417893,0.30331191878100555,11.530634920634933,11.2121875,0.43364600953406107,2.5206743048937477,8.669770160261315
1999-03-31,2.5206743048937477,0.3026935609948082,8.083123188405796,11.374354838709678,-7.909725624693776,1.8743870647398648,6.479359433417893
1999-06-30,1.8743870647398648,0.5171318736419886,7.00131313131313,15.478032786885246,7.413626841352716,0.9911699681526054,2.5206743048937477
1999-09-30,0.9911699681526054,0.6442777531436628,6.449045454545453,20.64421875,2.088073678507829,1.854430868395888,1.8743870647398648
1999-12-31,1.854430868395888,1.1226252158894612,5.879151515151513,23.98209677419355,1.7254450071261918,3.5919123959138104,0.9911699681526054
2000-03-31,3.5919123959138104,1.5950173471955227,5.383664596273294,26.96390625,-6.428486257676025,3.7260660574147972,1.854430868395888
2000-06-30,3.7260660574147972,1.071122536418175,5.326008202323993,27.012295081967213,7.744627980694174,4.158929489398755,3.5919123959138104
2000-09-30,4.158929489398755,1.2800839399304875,5.342779557589626,30.65969230769231,2.5576203781729756,4.293583040537604,3.7260660574147972
2000-12-31,4.293583040537604,1.7072765070492713,5.40557492215387,29.917936507936506,0.696256360727121,4.060241490670813,4.158929489398755
2001-03-31,4.060241490670813,1.612075439079863,5.219242424242423,25.82421875,-6.585163340681987,5.001300752496496,4.293583040537604
2001-06-30,5.001300752496496,2.5015449585826945,5.043285714285713,27.28953125,6.78732338247463,5.024439068353903,4.060241490670813
2001-09-30,5.024439068353903,2.022013382772873,5.408831426392067,25.300461538461537,1.637415151471644,4.02703072742953,5.001300752496496
2001-12-31,4.02703072742953,1.469711335861786,5.020565802957107,19.39546875,1.335705410595267,3.375752126703091,5.024439068353903
2002-03-31,3.375752126703091,1.879192872117404,4.384605339105341,21.116031746031744,-7.661975755886852,1.9540890649195692,4.02703072742953
2002-06-30,1.9540890649195692,1.1586580947650231,3.93279365079365,25.114516129032257,7.206772192965238,0.29926008516080554,3.375752126703091
